filename,timestamp,value,label
UPS,2015-02-26T21:42:53+0000,2,0
UPS,2015-02-26T21:47:53+0000,2,0
UPS,2015-02-26T21:52:53+0000,4,0
UPS,2015-02-26T21:57:53+0000,3,0
UPS,2015-02-26T22:02:53+0000,5,0
UPS,2015-02-26T22:07:53+0000,1,0
UPS,2015-02-26T22:12:53+0000,1,0
UPS,2015-02-26T22:17:53+0000,2,0
UPS,2015-02-26T22:22:53+0000,8,0
UPS,2015-02-26T22:27:53+0000,4,0
UPS,2015-02-26T22:32:53+0000,2,0
UPS,2015-02-26T22:37:53+0000,3,0
UPS,2015-02-26T22:42:53+0000,1,0
UPS,2015-02-26T22:47:53+0000,5,0
UPS,2015-02-26T22:52:53+0000,4,0
UPS,2015-02-26T22:57:53+0000,6,0
UPS,2015-02-26T23:02:53+0000,1,0
UPS,2015-02-26T23:07:53+0000,3,0
UPS,2015-02-26T23:12:53+0000,9,0
UPS,2015-02-26T23:17:53+0000,4,0
UPS,2015-02-26T23:22:53+0000,2,0
UPS,2015-02-26T23:27:53+0000,4,0
UPS,2015-02-26T23:32:53+0000,1,0
UPS,2015-02-26T23:37:53+0000,4,0
UPS,2015-02-26T23:42:53+0000,6,0
UPS,2015-02-26T23:47:53+0000,4,0
UPS,2015-02-26T23:52:53+0000,5,0
UPS,2015-02-26T23:57:53+0000,6,0
UPS,2015-02-27T00:02:53+0000,2,0
UPS,2015-02-27T00:07:53+0000,4,0
UPS,2015-02-27T00:12:53+0000,2,0
UPS,2015-02-27T00:17:53+0000,1,0
UPS,2015-02-27T00:22:53+0000,2,0
UPS,2015-02-27T00:27:53+0000,2,0
UPS,2015-02-27T00:32:53+0000,6,0
UPS,2015-02-27T00:37:53+0000,6,0
UPS,2015-02-27T00:42:53+0000,3,0
UPS,2015-02-27T00:47:53+0000,4,0
UPS,2015-02-27T00:52:53+0000,3,0
UPS,2015-02-27T00:57:53+0000,4,0
UPS,2015-02-27T01:02:53+0000,5,0
UPS,2015-02-27T01:07:53+0000,2,0
UPS,2015-02-27T01:12:53+0000,8,0
UPS,2015-02-27T01:17:53+0000,4,0
UPS,2015-02-27T01:22:53+0000,5,0
UPS,2015-02-27T01:27:53+0000,6,0
UPS,2015-02-27T01:32:53+0000,4,0
UPS,2015-02-27T01:37:53+0000,6,0
UPS,2015-02-27T01:42:53+0000,9,0
UPS,2015-02-27T01:47:53+0000,7,0
UPS,2015-02-27T01:52:53+0000,5,0
UPS,2015-02-27T01:57:53+0000,6,0
UPS,2015-02-27T02:02:53+0000,6,0
